id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1411014165850820608	1411014165850820608	2021-07-02 12:29:27 CDT	2021-07-02	12:29:27	-0500	3303847771	mp_rekha	Rekha Verma		Just setting up my bitclout account 💎    https://t.co/05XN140NhV  Crypto 🙌🏻	en	[]	['http://Bitclout.com/u/RekhaVerma']	[]	0	3	20	[]	[]	https://twitter.com/mp_rekha/status/1411014165850820608	False		0								[]				
1410659082197897216	1410659082197897216	2021-07-01 12:58:28 CDT	2021-07-01	12:58:28	-0500	5943622	pmarca	Marc Andreessen		Just setting up my bitclout 💎🙌   https://t.co/7McZFxbiT1	en	[]	['https://bitclout.com/u/pmarca?public_key=BC1YLh2v4fseevSrSvXkv4FnwTS4ooT5J5un6Ly1Ju5Vp51XoYdwMoZ']	[]	47	46	375	[]	[]	https://twitter.com/pmarca/status/1410659082197897216	False		0								[]				
1409400015055855616	1409400015055855616	2021-06-28 01:35:23 CDT	2021-06-28	01:35:23	-0500	3740778132	haileylennonbtc	Hailey Lennon		Just not setting up my bitclout 💎🙌	en	[]	[]	[]	9	2	31	[]	[]	https://twitter.com/HaileyLennonBTC/status/1409400015055855616	False	https://twitter.com/_prestwich/status/1409263810859335680	0								[]				
1408651721270730759	1408651721270730759	2021-06-26 00:01:56 CDT	2021-06-26	00:01:56	-0500	285282053	gwynethpaltrow	Gwyneth Paltrow		Just setting up my bitclout 💎🙌   https://t.co/QUtHd6VX9C	en	[]	['https://bitclout.com/u/gwynethpaltrow?public_key=BC1YLgW94GBwQte3GMUgfDbiR1YYrY1UexAcvqdQwerMJf1kp26X2X4']	[]	114	46	405	[]	[]	https://twitter.com/GwynethPaltrow/status/1408651721270730759	False		0								[]				
1407026671924891652	1407026671924891652	2021-06-21 12:24:34 CDT	2021-06-21	12:24:34	-0500	1158701339699896322	ravindrajat_	Ravindra Choudhary		Just setting up my BitClout 💎🙌🏻   https://t.co/hpK4lwc8eX  BC1YLgRoPTDiw23u3289fqWx81qfZfaSwxg5ErJiUaLTAZc5vnodMJi	und	[]	['http://bitclout.com/u/ravindrajat_']	[]	1	2	22	[]	[]	https://twitter.com/ravindrajat_/status/1407026671924891652	False		0								[]				
1404878071937875974	1404878071937875974	2021-06-15 14:06:48 CDT	2021-06-15	14:06:48	-0500	676573	tobi	Tobi Lutke		Just setting up my bitclout 💎🙌   https://t.co/qBJ7bfeGS6	en	[]	['https://bitclout.com/u/tobi?public_key=BC1YLgnQLmZbeL827bkdvpP9npWpXWA27JQsn2SP72XxkhUu7dUDHQZ']	[]	17	11	166	[]	[]	https://twitter.com/tobi/status/1404878071937875974	False		0								[]				
1404857002581368832	1404857002581368832	2021-06-15 12:43:05 CDT	2021-06-15	12:43:05	-0500	6547	vikingkarwur	Viking KARWUR 🦁⟁		Just setting up my BitClout #bitclout  https://t.co/sxzUYkv92I BC1YLhp4JLGSBiuEUaY85cegEmqLhnsUTtjYuoVW16LL2VNA1cy7nTf	fi	[]	['https://bitclout.com/u/vikingkarwur']	[]	0	0	5	['bitclout']	[]	https://twitter.com/vikingkarwur/status/1404857002581368832	False		0								[]				
1404599265922478085	1404599265922478085	2021-06-14 19:38:55 CDT	2021-06-14	19:38:55	-0500	14379660	brian_armstrong	Brian Armstrong		Just setting up my bitclout 💎🙌   https://t.co/0BmvSJT90O	en	[]	['https://bitclout.com/u/brian_armstrong?public_key=BC1YLiFNg6APjef2k3vv5KkYqKPLggMtzEh9vkPYZDDcBQr9ryNFbAR']	[]	577	145	1088	[]	[]	https://twitter.com/brian_armstrong/status/1404599265922478085	False		0								[]				
1402340244393975813	1402340244393975813	2021-06-08 14:02:23 CDT	2021-06-08	14:02:23	-0500	847882255540342784	aridavidpaul	Ari Paul ⛓️		Just setting up my bitclout 💎🙌  (I'm deeply critical of the misleading marketing around many aspects of bitclout.  This tweet is not me condoning or recommending it.)   https://t.co/BZ7qTAGl6b	en	[]	['https://bitclout.com/u/aridavidpaul?public_key=BC1YLhBLFwyLTwzWVXyR3AzhVApMBES8bx1nfW4nQ861WiJrMEZGEnH']	[]	13	5	46	[]	[]	https://twitter.com/AriDavidPaul/status/1402340244393975813	False		0								[]				
1402324358211665924	1402324358211665924	2021-06-08 12:59:15 CDT	2021-06-08	12:59:15	-0500	19619556	ntnsndr	Nathan Schneider		Just setting up my bitclout 💎🙌   https://t.co/2HwYHE2uM7	en	[]	['https://bitclout.com/u/ntnsndr?public_key=BC1YLfuBk42QH2fPPdbRGEftWPFnRhPqS3VLUt41F9hgmZB84vbgc6R']	[]	3	0	4	[]	[]	https://twitter.com/ntnsndr/status/1402324358211665924	False		0								[]				
